target,label,study,stimulus,cell_type,n_paired_donors,mean_log2_cpm_difference,median_log2_cpm_difference,fraction_donors_positive,wilcoxon_p_one_sided,leave_one_donor_out_min_mean,leave_one_donor_out_max_mean,direction_stable_leave_one_donor_out
IL2RA,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,5.071163287222,5.056820719963,1.0,5.9605e-08,5.036853907394,5.105170239561,True
TNFRSF9,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,5.152387195046,5.18767660197,1.0,5.9605e-08,5.122387066618,5.210349541067,True
TNFRSF4,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,3.999308214871,4.031938551245,1.0,5.9605e-08,3.942428475266,4.078651892994,True
ICOS,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,2.865727513498,2.859568015559,1.0,5.9605e-08,2.848661197271,2.87935623991,True
PDCD1,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,3.417938568798,3.390679401603,1.0,5.9605e-08,3.376886385446,3.463221929834,True
CTLA4,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,4.244463967303,4.234983961703,1.0,5.9605e-08,4.220138560685,4.268052074854,True
CD274,positive,GSE157857,IFN_I_18h,Myeloid,3,3.035159668542,3.07047248931,1.0,0.125,2.972800468138,3.115175279331,True
PDCD1LG2,positive,GSE157857,IFN_I_18h,Myeloid,3,2.423904551531,2.305706395221,1.0,0.125,2.054218216473,2.734491808434,True
LAG3,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,3.45163160848,3.4752511577,1.0,5.9605e-08,3.420835270628,3.494352875633,True
HAVCR2,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,1.311147633615,1.458912884988,0.958333333333,2.98023e-07,1.271726755686,1.393804176745,True
TIGIT,positive,GSE178429_IFN_6h,IFN_II_6h,T_cell,3,0.229296324074,0.39029444617,0.666666666667,0.25,0.094089065897,0.4450026433,True
CD38,positive,GSE157857,IFN_I_18h,Myeloid,3,7.204322132737,7.386763899602,1.0,0.125,7.081128046258,7.418737102648,True
CD69,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,1.406286224283,1.480162585805,1.0,5.9605e-08,1.380424858445,1.449799213093,True
TNFRSF18,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,3.005474170783,2.937479950099,1.0,5.9605e-08,2.956735512141,3.040875403696,True
ENTPD1,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,-1.804030606858,-1.740238549355,0.0,1.0,-1.835012036087,-1.765481060489,False
CD70,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,1.535974334705,1.559773849944,1.0,5.9605e-08,1.504712502835,1.56573485908,True
MICA,positive,GSE157857,IFN_I_18h,Myeloid,3,0.615084198607,0.717564965628,1.0,0.125,0.532778500417,0.748630280307,True
MICB,positive,GSE157857,IFN_I_18h,Myeloid,3,1.818357555434,1.725443367224,1.0,0.125,1.626769205341,1.963488811422,True
HLA-DRA,positive,GSE178429_IFN_6h,IFN_II_6h,B_cell,3,1.494805628051,1.613426195847,1.0,0.125,1.408017161407,1.640904378592,True
ICAM1,positive,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,2.737186077017,2.861589926207,1.0,5.9605e-08,2.709469442066,2.796921343306,True
SIGLEC1,positive,GSE157857,IFN_I_18h,Myeloid,3,5.355345910197,5.140728893574,1.0,0.125,5.099090554059,5.504292758023,True
IDO1,positive,GSE178429_IFN_6h,IFN_II_6h,Myeloid,3,8.725113495824,8.234419279451,1.0,0.125,6.837347418022,10.36753246544,True
TNFRSF12A,positive,GSE178429_IFN_6h,IFN_II_6h,T_cell,3,-0.150372217403,-0.223077508639,0.333333333333,0.875,-0.234618792126,-0.102478288298,False
CD19,negative,GSE178429_IFN_6h,IFN_II_6h,B_cell,3,-0.403995956778,-0.313793355763,0.333333333333,0.75,-1.036786314103,0.273895701054,False
MS4A1,negative,GSE178429_IFN_6h,IFN_II_6h,B_cell,3,-0.181366834972,0.138622297064,0.666666666667,0.625,-0.460545806203,0.257806702278,False
CD79A,negative,GSE178429_IFN_6h,IFN_II_6h,B_cell,3,-0.26867235882,-0.678060234513,0.333333333333,0.875,-0.705735648163,-0.036303007323,False
CD3E,negative,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,-0.255835272718,-0.267513480485,0.041666666667,0.999999940395,-0.269464735627,-0.245520943656,False
CD4,negative,GSE140244_24h,lymphocyte_activation_24h,T_cell,24,-0.299601599359,-0.273119238937,0.041666666667,0.999999940395,-0.312663789482,-0.278715147732,False
CD8A,negative,GSE178429_IFN_6h,IFN_II_6h,T_cell,3,0.541165361873,0.516875254351,1.0,0.125,0.318519972249,0.751665697736,True
