target,cell_type,stimulus,inducibility_lfc,inducibility_se,ci_low,ci_high,tau2,q,i2,n_studies,total_pairs,min_q_value,positive_fraction_activated,positive_fraction_resting,adt_estimate,adt_n_studies,protein_concordance,relevant_stimulus,evidence_class,abstention_reasons
CD19,B_cell,IFN_I_6h_confirmation,-0.33039776843875446,0.1634793965676412,-0.6508173857113313,-0.009978151166177673,,,,1.0,8,0.20237075803048413,0.075,0.07717462393721386,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD19,Myeloid,IFN_I_6h_confirmation,0.4853006975817698,0.17978284094618907,0.13292632932723925,0.8376750658363004,,,,1.0,8,0.10394148527483137,0.0032532532532532532,0.001837270341207349,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD19,NK_cell,IFN_I_6h_confirmation,-0.4332014642535339,0.4332014642535339,-1.2822763341904602,0.4158734056833925,,,,1.0,8,0.5438135994762401,0.0,0.0006720430107526882,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD19,T_cell,IFN_I_6h_confirmation,0.5138370153894745,0.20021664196177966,0.12141239714438634,0.9062616336345626,,,,1.0,8,0.11540336990307433,0.001008827238335435,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD274,B_cell,IFN_I_6h_confirmation,1.8130460596470068,0.679810693489423,0.48061710040773775,3.145475018886276,,,,1.0,8,0.10394148527483137,0.007142857142857143,0.002616088947024199,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD274,Myeloid,IFN_I_6h_confirmation,3.4811780920946087,0.36168773904616697,2.7722701235641214,4.190086060625096,,,,1.0,8,0.0003484928713648955,0.10785785785785786,0.010761154855643044,,,UNAVAILABLE,True,B,[]
CD274,NK_cell,IFN_I_6h_confirmation,2.281515626467028,0.9031554461859803,0.5113309519425069,4.051700300991549,,,,1.0,8,0.11767027355322182,0.006024096385542169,0.0006720430107526882,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD274,T_cell,IFN_I_6h_confirmation,2.1827126402982815,0.4834195416722066,1.2352103386207567,3.1302149419758063,,,,1.0,8,0.015470412426068189,0.009079445145018916,0.0015730337078651685,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD38,B_cell,IFN_I_6h_confirmation,4.969368738158416,0.7894908412314156,3.421966689344842,6.516770786971991,,,,1.0,8,0.003088273257840806,0.13214285714285715,0.007194244604316547,,,UNAVAILABLE,True,B,[]
CD38,Myeloid,IFN_I_6h_confirmation,6.108459809591112,0.35292293885760345,5.416730849430209,6.800188769752015,,,,1.0,8,1.385409083839969e-05,0.3841341341341341,0.008136482939632546,,,UNAVAILABLE,True,B,[]
CD38,NK_cell,IFN_I_6h_confirmation,2.7636136463862293,0.21215304429608037,2.347793679565912,3.179433613206547,,,,1.0,8,6.179305273497231e-05,0.30613362541073386,0.06048387096774194,,,UNAVAILABLE,True,B,[]
CD38,T_cell,IFN_I_6h_confirmation,2.8738340313723185,0.41558484589802286,2.0592877334121935,3.6883803293324435,,,,1.0,8,0.0020403990342403003,0.03278688524590164,0.004044943820224719,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD3E,B_cell,IFN_I_6h_confirmation,-0.5799547540552173,0.3004838283068022,-1.1689030575365496,0.008993549426114966,,,,1.0,8,0.21532405385340636,0.08077436582109479,0.0850673194614443,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD3E,Myeloid,IFN_I_6h_confirmation,-0.08311862872252523,0.25449085507916763,-0.5819207046776937,0.41568344723264333,,,,1.0,8,0.9626349383278034,0.036242603550295856,0.03406136245449818,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD3E,NK_cell,IFN_I_6h_confirmation,-0.5150362268931855,0.23054123710934288,-0.9668970516274975,-0.06317540215887346,,,,1.0,8,0.167502123170352,0.1168091168091168,0.1492109038737446,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD3E,T_cell,IFN_I_6h_confirmation,-0.7004091981106471,0.06219115379495644,-0.8223038595487617,-0.5785145366725324,,,,1.0,8,0.00013435104807371824,0.2737294971766604,0.3726541554959786,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD4,B_cell,IFN_I_6h_confirmation,1.160393829725262,0.8447356668296132,-0.4952880772607797,2.816075736711304,,,,1.0,8,0.38808847887089815,0.0064285714285714285,0.0032701111837802484,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD4,Myeloid,IFN_I_6h_confirmation,0.5714290523096157,0.13787511548102868,0.3011938259667995,0.841664278652432,,,,1.0,8,0.022666459442263538,0.033783783783783786,0.01863517060367454,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD4,NK_cell,IFN_I_6h_confirmation,0.8994806749588833,0.6391695772959349,-0.3532916965411492,2.152253046458916,,,,1.0,8,0.3819458207682529,0.0038335158817086527,0.0013440860215053765,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD4,T_cell,IFN_I_6h_confirmation,-0.5693748519637492,0.3597010890129922,-1.274388986429214,0.13563928250171553,,,,1.0,8,0.32342628189000605,0.008827238335435058,0.010786516853932584,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD69,B_cell,IFN_I_6h_confirmation,1.0217435271176738,0.23986222492263487,0.5516135662693095,1.4918734879660382,,,,1.0,8,0.020345911342606326,0.2592857142857143,0.18312622629169392,,,UNAVAILABLE,True,B,[]
CD69,Myeloid,IFN_I_6h_confirmation,2.9627148972121256,0.17141549574125708,2.6267405255592617,3.2986892688649894,,,,1.0,8,1.385409083839969e-05,0.2695195195195195,0.046194225721784776,,,UNAVAILABLE,True,B,[]
CD69,NK_cell,IFN_I_6h_confirmation,1.6115151207891694,0.5297014277714578,0.573300322357112,2.649729919221227,,,,1.0,8,0.07321603402222815,0.3592552026286966,0.15793010752688172,,,UNAVAILABLE,True,B,[]
CD69,T_cell,IFN_I_6h_confirmation,1.5273087834108647,0.11054661779199879,1.3106374125385472,1.7439801542831823,,,,1.0,8,4.668519743949884e-05,0.23329129886506936,0.09910112359550562,,,UNAVAILABLE,True,B,[]
CD70,B_cell,IFN_I_6h_confirmation,0.2574306568630551,0.40062348569239903,-0.5277913750940469,1.0426526888201573,,,,1.0,8,0.7417033166818131,0.047142857142857146,0.05755395683453238,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD70,Myeloid,IFN_I_6h_confirmation,-0.24410613788561272,0.38053712656540256,-0.9899589059538018,0.5017466301825763,,,,1.0,8,0.7417033166818131,0.0037537537537537537,0.003674540682414698,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD70,NK_cell,IFN_I_6h_confirmation,0.5013697266567922,0.6843044852818437,-0.8398670644956214,1.842606517809206,,,,1.0,8,0.6926113556886262,0.00547645125958379,0.004032258064516129,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD70,T_cell,IFN_I_6h_confirmation,0.19690117311246058,0.5214880173652902,-0.8252153409235081,1.2190176871484293,,,,1.0,8,0.9394301388856865,0.003026481715006305,0.0020224719101123597,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD79A,B_cell,IFN_I_6h_confirmation,-0.8778181209021967,0.09979129242183742,-1.073409054048998,-0.6822271877553954,,,,1.0,8,0.0005372687968731162,0.4569486404833837,0.6173791170287316,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD79A,Myeloid,IFN_I_6h_confirmation,1.0644223704448348,0.4480804158344927,0.18618475540922907,1.9426599854804405,,,,1.0,8,0.1411174477320555,0.031086794329768713,0.017722178785509513,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD79A,NK_cell,IFN_I_6h_confirmation,1.548723491686908,0.5337662350892921,0.5025416709118955,2.59490531246192,,,,1.0,8,0.0850338528602353,0.008228195282501372,0.003367003367003367,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD79A,T_cell,IFN_I_6h_confirmation,-0.952498574942949,0.7967399443412317,-2.514108865851763,0.6091117159658651,,,,1.0,8,0.46912060354488516,0.01223865374808771,0.021655763591247462,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD8A,B_cell,IFN_I_6h_confirmation,0.34609492148470244,0.8922905895456122,-1.4027946340246975,2.094984476994102,,,,1.0,8,0.9379530139972828,0.016428571428571428,0.012426422498364944,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD8A,Myeloid,IFN_I_6h_confirmation,0.41688782222441256,0.2972550144073043,-0.1657320060139038,0.9995076504627289,,,,1.0,8,0.3819458207682529,0.011011011011011011,0.008923884514435695,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD8A,NK_cell,IFN_I_6h_confirmation,-0.15701631846269715,0.17071532487676958,-0.4916183552211655,0.1775857182957712,,,,1.0,8,0.5961723812875378,0.2420591456736035,0.21505376344086022,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD8A,T_cell,IFN_I_6h_confirmation,-0.41312875734769183,0.20766909272949782,-0.8201601790975075,-0.006097335597876119,,,,1.0,8,0.2041045637055882,0.07994955863808323,0.10606741573033708,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CLDN18,B_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
CLDN18,Myeloid,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
CLDN18,NK_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
CLDN18,T_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
CLDN6,B_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
CLDN6,Myeloid,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
CLDN6,NK_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
CLDN6,T_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
CTLA4,B_cell,IFN_I_6h_confirmation,0.9459093776917677,1.1631203641185544,-1.3338065359805988,3.2256252913641346,,,,1.0,8,0.6350331286828987,0.008571428571428572,0.005232177894048398,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CTLA4,Myeloid,IFN_I_6h_confirmation,0.36735588014969267,0.4504253875984923,-0.5154778795433522,1.2501896398427377,,,,1.0,8,0.6350331286828987,0.004754754754754755,0.002362204724409449,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CTLA4,NK_cell,IFN_I_6h_confirmation,1.9361520389325761,0.7183107727537019,0.5282629243353205,3.344041153529832,,,,1.0,8,0.10394148527483137,0.023001095290251915,0.008064516129032258,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CTLA4,T_cell,IFN_I_6h_confirmation,0.29382772809094787,0.3245668319420186,-0.3423232625154085,0.9299787186973043,,,,1.0,8,0.5998785407294064,0.029003783102143757,0.019325842696629212,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
DLL3,B_cell,IFN_I_6h_confirmation,0.3465654822227986,0.7922803694079329,-1.2063040418167499,1.899435006262347,,,,1.0,8,0.8999723030931688,0.005,0.0032701111837802484,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
DLL3,Myeloid,IFN_I_6h_confirmation,-0.10238524112876853,0.10238524112876853,-0.30306031374115483,0.09828983148361779,,,,1.0,8,0.5438135994762401,0.0,0.00026246719160104987,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
DLL3,NK_cell,IFN_I_6h_confirmation,0.052005863306045785,0.45237146716066584,-0.8346422123288593,0.9386539389409507,,,,1.0,8,1.0,0.000547645125958379,0.0006720430107526882,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
