target,label,study,stimulus,cell_type,n_paired_donors,mean_log2_cpm_difference,median_log2_cpm_difference,fraction_donors_positive,wilcoxon_p_one_sided,leave_one_donor_out_min_mean,leave_one_donor_out_max_mean,direction_stable_leave_one_donor_out
TNFRSF4,positive,GSE96583,IFN_I_6h_confirmation,T_cell,8,0.153230180544,0.247509736445,0.75,0.0546875,0.113449809543,0.210229301742,True
ICOS,positive,GSE96583,IFN_I_6h_confirmation,T_cell,8,1.089734193024,1.034313124939,1.0,0.00390625,0.79983934147,1.243397858155,True
CD274,positive,GSE96583,IFN_I_6h_confirmation,Myeloid,8,3.481178092095,3.459193692498,1.0,0.00390625,3.253886432438,3.665037853775,True
LAG3,positive,GSE96583,IFN_I_6h_confirmation,NK_cell,8,5.413948072435,5.076366679129,1.0,0.00390625,5.006035397284,5.698194136878,True
HAVCR2,positive,GSE96583,IFN_I_6h_confirmation,Myeloid,8,1.336713087747,1.333994462099,1.0,0.00390625,1.292806962799,1.376428823428,True
TIGIT,positive,GSE96583,IFN_I_6h_confirmation,T_cell,8,-0.07785337136,0.018487544931,0.625,0.62890625,-0.12554690822,0.016431347605,False
CD38,positive,GSE96583,IFN_I_6h_confirmation,Myeloid,8,6.108459809591,5.997595275635,1.0,0.00390625,5.822662589965,6.250535971809,True
CD69,positive,GSE96583,IFN_I_6h_confirmation,T_cell,8,1.527308783411,1.573798498303,1.0,0.00390625,1.465276593243,1.605890486394,True
CD70,positive,GSE96583,IFN_I_6h_confirmation,B_cell,8,0.257430656863,0.040402466308,0.625,0.3203125,-0.003160401481,0.476327893158,False
HLA-DRA,positive,GSE96583,IFN_I_6h_confirmation,Myeloid,8,-0.371105334517,-0.36371267283,0.0,1.0,-0.397475421649,-0.333367581761,False
ICAM1,positive,GSE96583,IFN_I_6h_confirmation,B_cell,8,1.460715792698,1.548339628364,0.625,0.109375,0.977552532367,2.255929048572,True
SIGLEC1,positive,GSE96583,IFN_I_6h_confirmation,Myeloid,8,4.327084792076,4.406760055469,1.0,0.00390625,4.152363187133,4.583836281997,True
IDO1,positive,GSE96583,IFN_I_6h_confirmation,Myeloid,8,4.259370488207,4.009387474161,1.0,0.00390625,4.089206948983,4.352754994808,True
CD19,negative,GSE96583,IFN_I_6h_confirmation,B_cell,8,-0.330397768439,-0.361077670256,0.25,0.97265625,-0.432896101205,-0.241312898718,False
MS4A1,negative,GSE96583,IFN_I_6h_confirmation,B_cell,8,-0.57045285433,-0.381436112869,0.0,1.0,-0.647906147783,-0.36375512978,False
CD79A,negative,GSE96583,IFN_I_6h_confirmation,B_cell,8,-0.877818120902,-0.860124683975,0.0,1.0,-0.927717181208,-0.801967201487,False
CD3E,negative,GSE96583,IFN_I_6h_confirmation,T_cell,8,-0.700409198111,-0.654822422116,0.0,1.0,-0.727537397928,-0.656555240553,False
CD8A,negative,GSE96583,IFN_I_6h_confirmation,T_cell,8,-0.413128757348,-0.600147023963,0.25,0.97265625,-0.568333076106,-0.308872267137,False
