target,driver_cell_type,driver_stimulus,inducibility_lfc,ci_low,ci_high,i2,positive_fraction_resting,positive_fraction_activated,protein_concordance,evidence_class,abstention_reasons,protein_adjustment,row_score,footprint_resting,footprint_activated,footprint_expansion,selectivity_erosion,rna_only_score,score
CD38,Myeloid,IFN_I_6h_confirmation,6.108459809591112,5.416730849430209,6.800188769752015,,0.008136482939632546,0.3841341341341341,UNAVAILABLE,B,[],0.0,6.8,0,3,3,,7.758459809591113,8.45
LAG3,NK_cell,IFN_I_6h_confirmation,5.41394807243466,4.120542873712567,6.7073532711567525,,0.018145161290322582,0.2710843373493976,UNAVAILABLE,B,[],0.0,6.213948072434659,0,2,2,,6.51394807243466,7.313948072434659
SIGLEC1,Myeloid,IFN_I_6h_confirmation,4.327084792075503,3.612295547503215,5.041874036647791,,0.005511811023622047,0.1061061061061061,UNAVAILABLE,B,[],0.0,5.127084792075503,0,1,1,,4.877084792075503,5.677084792075503
IDO1,Myeloid,IFN_I_6h_confirmation,4.2593704882073125,3.7978276330385534,4.720913343376071,,0.08398950131233596,0.8028028028028028,UNAVAILABLE,B,[],0.0,5.059370488207312,0,1,1,,4.809370488207312,5.609370488207312
CD69,Myeloid,IFN_I_6h_confirmation,2.9627148972121256,2.6267405255592617,3.2986892688649894,,0.046194225721784776,0.2695195195195195,UNAVAILABLE,B,[],0.0,3.762714897212126,2,4,2,,4.062714897212126,4.8627148972121255
CD274,Myeloid,IFN_I_6h_confirmation,3.4811780920946087,2.7722701235641214,4.190086060625096,,0.010761154855643044,0.10785785785785786,UNAVAILABLE,B,[],0.0,4.281178092094609,0,1,1,,4.031178092094609,4.831178092094609
MICB,NK_cell,IFN_I_6h_confirmation,2.9642121587184516,1.7045794145816187,4.2238449028552845,,0.006048387096774193,0.023001095290251915,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,2.9642121587184516,0,0,0,,2.9642121587184516,2.9642121587184516
PDCD1LG2,Myeloid,IFN_I_6h_confirmation,2.8564523214006425,1.8774536345410902,3.835451008260195,,0.003674540682414698,0.02827827827827828,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,2.8564523214006425,0,0,0,,2.8564523214006425,2.8564523214006425
HAVCR2,Myeloid,IFN_I_6h_confirmation,1.3367130877471265,1.1969550181251356,1.4764711573691174,,0.1763779527559055,0.3591091091091091,UNAVAILABLE,B,[],0.0,2.1367130877471263,1,2,1,,1.8867130877471265,2.686713087747126
MS4A1,NK_cell,IFN_I_6h_confirmation,2.6576204433986623,1.5718284611592743,3.7434124256380503,,0.0013468013468013469,0.00823271130625686,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,2.6576204433986623,1,1,0,,2.6576204433986623,2.6576204433986623
IL2RA,NK_cell,IFN_I_6h_confirmation,1.9604145526758983,0.05250256819997956,3.868326537151817,,0.004704301075268817,0.014238773274917854,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,1.9604145526758983,0,0,0,,1.9604145526758983,1.9604145526758983
CTLA4,NK_cell,IFN_I_6h_confirmation,1.9361520389325761,0.5282629243353205,3.344041153529832,,0.008064516129032258,0.023001095290251915,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,1.9361520389325761,0,0,0,,1.9361520389325761,1.9361520389325761
HLA-DRA,NK_cell,IFN_I_6h_confirmation,1.0435633449045727,-0.06820071264732941,2.155327402456475,,0.10080645161290322,0.11555312157721796,UNAVAILABLE,B,[],0.0,1.8435633449045727,3,3,0,,1.0435633449045727,1.8435633449045727
ICOS,B_cell,IFN_I_6h_confirmation,1.7773950250794899,0.7055354179181255,2.8492546322408545,,0.005232177894048398,0.016428571428571428,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,1.7773950250794899,0,0,0,,1.7773950250794899,1.7773950250794899
TNFRSF17,B_cell,IFN_I_6h_confirmation,1.7109206003916455,-0.7574417425803857,4.179282943363677,,0.0013080444735120995,0.009285714285714286,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,1.7109206003916455,0,0,0,,1.7109206003916455,1.7109206003916455
MICA,B_cell,IFN_I_6h_confirmation,1.6957559543299277,0.554249755023188,2.8372621536366673,,0.005886200130804447,0.017857142857142856,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,1.6957559543299277,0,0,0,,1.6957559543299277,1.6957559543299277
CD79A,NK_cell,IFN_I_6h_confirmation,1.548723491686908,0.5025416709118955,2.59490531246192,,0.003367003367003367,0.008228195282501372,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,1.548723491686908,1,1,0,,1.548723491686908,1.548723491686908
ICAM1,B_cell,IFN_I_6h_confirmation,1.4607157926980485,-0.5638028788110256,3.4852344642071227,,0.001962066710268149,0.012857142857142857,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,1.4607157926980485,1,1,0,,1.4607157926980485,1.4607157926980485
PDCD1,NK_cell,IFN_I_6h_confirmation,1.3279277007598105,0.06634647224900947,2.5895089292706115,,0.003360215053763441,0.006024096385542169,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,1.3279277007598105,0,0,0,,1.3279277007598105,1.3279277007598105
