target,label,tier,y_true,expected_lineages,covered_lineages,observable_fraction_max,observable,abstention_reason,score,driver_stimulus,driver_cell_type,driver_effect,driver_standard_error,driver_total_pairs,driver_positive_fraction_resting,driver_positive_fraction_activated
CD38,positive,2,1,"['T_cell', 'B_cell', 'Myeloid', 'NK_cell']","['B_cell', 'Myeloid', 'NK_cell', 'T_cell']",1.0,True,,6.782514188792,IFN_I_18h,Myeloid,7.204322132737,0.215208134666,3.0,0.005469078671,0.522335423197
TNFRSF9,positive,1,1,"['T_cell', 'NK_cell']","['NK_cell', 'T_cell']",1.0,True,,4.964454383576,lymphocyte_activation_24h,T_cell,5.152387195046,0.095884087484,24.0,1.0,1.0
IL2RA,positive,1,1,['T_cell'],['T_cell'],1.0,True,,4.887894141971,lymphocyte_activation_24h,T_cell,5.071163287222,0.093504665944,24.0,1.0,1.0
SIGLEC1,positive,2,1,['Myeloid'],['Myeloid'],0.480407523511,True,,4.850880119251,IFN_I_18h,Myeloid,5.355345910197,0.257380505585,3.0,0.015986537653,0.480407523511
IDO1,positive,1,1,['Myeloid'],['Myeloid'],0.916927899687,True,,4.701493647453,IFN_II_6h,Myeloid,8.725113495824,2.052867269577,3.0,0.059748427673,0.894080996885
CTLA4,positive,2,1,['T_cell'],['T_cell'],1.0,True,,4.141398447141,lymphocyte_activation_24h,T_cell,4.244463967303,0.052584449062,24.0,1.0,1.0
TNFRSF4,positive,1,1,['T_cell'],['T_cell'],1.0,True,,3.687345181782,lymphocyte_activation_24h,T_cell,3.999308214871,0.159164812801,24.0,1.0,1.0
LAG3,positive,2,1,"['T_cell', 'NK_cell']","['NK_cell', 'T_cell']",1.0,True,,3.293437837036,lymphocyte_activation_24h,T_cell,3.45163160848,0.08071110788,24.0,1.0,1.0
PDCD1,positive,2,1,['T_cell'],['T_cell'],1.0,True,,3.215445633539,lymphocyte_activation_24h,T_cell,3.417938568798,0.103312722071,24.0,1.0,1.0
CD274,positive,1,1,"['Myeloid', 'B_cell']","['B_cell', 'Myeloid']",0.576323987539,True,,2.87037260455,IFN_I_18h,Myeloid,3.035159668542,0.084075032649,3.0,0.061842658814,0.362068965517
ICOS,positive,2,1,['T_cell'],['T_cell'],1.0,True,,2.792429330188,lymphocyte_activation_24h,T_cell,2.865727513498,0.037397032301,24.0,1.0,1.0
TNFRSF18,positive,2,1,['T_cell'],['T_cell'],1.0,True,,2.775973561674,lymphocyte_activation_24h,T_cell,3.005474170783,0.117092147505,24.0,1.0,1.0
