target,driver_cell_type,driver_stimulus,inducibility_lfc,ci_low,ci_high,i2,positive_fraction_resting,positive_fraction_activated,protein_concordance,evidence_class,abstention_reasons,protein_adjustment,row_score,footprint_resting,footprint_activated,footprint_expansion,selectivity_erosion,rna_only_score,score
IL2RA,Myeloid,TLR_6h,8.334828430361696,6.67149316209796,9.998163698625433,,0.0031446540880503146,0.3058823529411765,UNAVAILABLE,B,[],0.0,6.8,1,3,2,,9.434828430361696,7.9
TNFRSF9,T_cell,lymphocyte_activation_4h,6.554909507771092,6.392135501386741,6.717683514155444,,1.0,1.0,UNAVAILABLE,B,[],0.0,6.8,1,3,2,,7.654909507771093,7.9
CD38,Myeloid,TLR_6h,6.124413232026112,4.695681561871956,7.553144902180268,,0.0,0.13725490196078433,UNAVAILABLE,B,[],0.0,6.8,1,2,1,,6.674413232026112,7.35
CD274,T_cell,lymphocyte_activation_4h,4.962398240866222,4.845946555351338,5.078849926381107,,1.0,1.0,UNAVAILABLE,B,[],0.0,5.762398240866222,1,3,2,,6.062398240866223,6.862398240866222
CD69,T_cell,lymphocyte_activation_4h,5.394903882267002,5.273468280525051,5.516339484008953,,1.0,1.0,UNAVAILABLE,B,[],0.0,6.194903882267002,3,4,1,,5.944903882267002,6.7449038822670015
LAG3,T_cell,lymphocyte_activation_72h,5.154993776149564,4.962972635583627,5.347014916715501,,1.0,1.0,UNAVAILABLE,B,[],0.0,5.954993776149564,1,2,1,,5.704993776149564,6.504993776149564
IDO1,Myeloid,IFN_II_6h,8.725113495824028,4.701493647452987,12.748733344195067,,0.059748427672955975,0.8940809968847352,UNAVAILABLE,C,[],0.0,6.4,2,2,0,,8.725113495824028,6.4
TNFRSF4,T_cell,lymphocyte_activation_8h,4.992994777924864,4.6936343700525285,5.292355185797199,,1.0,1.0,UNAVAILABLE,B,[],0.0,5.792994777924863,2,3,1,,5.542994777924863,6.342994777924863
TNFRSF18,Myeloid,TLR_6h,3.8723490862539083,2.9223651372883226,4.8223330352194935,,0.009433962264150943,0.1411764705882353,UNAVAILABLE,B,[],0.0,4.6723490862539085,1,4,3,,5.522349086253908,6.322349086253909
SIGLEC1,Myeloid,IFN_I_18h,5.355345910196687,4.850880119250741,5.8598117011426325,,0.015986537652503154,0.48040752351097177,UNAVAILABLE,C,[],0.0,5.755345910196687,1,2,1,,5.9053459101966865,6.305345910196687
TNFSF18,Myeloid,IFN_I_18h,4.7690719289336,4.092478233497048,5.445665624370151,,0.006731173748422381,0.1359717868338558,CONCORDANT,C,[],0.35,5.5190719289336,0,1,1,,5.3190719289335995,6.0690719289335995
ICAM1,T_cell,lymphocyte_activation_4h,3.9175502256305372,3.7504622923675868,4.084638158893488,,1.0,1.0,UNAVAILABLE,B,[],0.0,4.7175502256305375,2,3,1,,4.4675502256305375,5.267550225630537
ICOS,Myeloid,TLR_6h,4.816288602846263,4.251331526349178,5.381245679343348,,0.0,0.06666666666666667,UNAVAILABLE,C,[],0.0,5.216288602846263,1,1,0,,4.816288602846263,5.216288602846263
CTLA4,T_cell,lymphocyte_activation_24h,4.244463967302968,4.141398447141438,4.347529487464498,,1.0,1.0,UNAVAILABLE,B,[],0.0,5.044463967302968,1,1,0,,4.244463967302968,5.044463967302968
MICB,B_cell,TLR_6h,2.3777800070733757,-0.43641448754184076,5.191974501688592,,0.02857142857142857,0.1303370786516854,UNAVAILABLE,B,[],0.0,3.177780007073376,1,4,3,,4.027780007073376,4.827780007073376
PDCD1,T_cell,lymphocyte_activation_24h,3.417938568797622,3.215445633538753,3.6204315040564907,,1.0,1.0,UNAVAILABLE,B,[],0.0,4.217938568797622,1,2,1,,3.9679385687976216,4.7679385687976215
PDCD1LG2,Myeloid,IFN_II_6h,3.2983943560714164,-0.3820901010724742,6.978878813215307,,0.006289308176100629,0.08411214953271028,UNAVAILABLE,C,[],0.0,3.6983943560714163,1,2,1,,3.8483943560714167,4.248394356071416
HAVCR2,T_cell,lymphocyte_activation_72h,3.437716219064518,3.179375509262246,3.69605692886679,,1.0,1.0,UNAVAILABLE,B,[],0.0,4.237716219064518,2,2,0,,3.437716219064518,4.237716219064518
CD70,T_cell,lymphocyte_activation_72h,2.7969636679488885,2.615337636154292,2.978589699743485,,1.0,1.0,UNAVAILABLE,B,[],0.0,3.5969636679488888,1,1,0,,2.7969636679488885,3.5969636679488888
TNFRSF12A,T_cell,lymphocyte_activation_2h,2.0175421328943592,1.8513087988511105,2.183775466937608,,1.0,1.0,UNAVAILABLE,B,[],0.0,2.817542132894359,1,2,1,,2.567542132894359,3.367542132894359
HLA-DRA,NK_cell,IFN_II_6h,2.640003803760153,1.8238113257586814,3.456196281761625,,0.06418918918918919,0.2916666666666667,UNAVAILABLE,C,[],0.0,3.040003803760153,4,4,0,,2.640003803760153,3.040003803760153
ERBB2,NK_cell,IFN_II_1h,2.912691289788613,-0.05933425035301232,5.8847168299302375,,0.0,0.016778523489932886,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,2.912691289788613,1,1,0,,2.912691289788613,2.912691289788613
