study,target,cell_type,stimulus,inducibility_lfc,inducibility_se,ci_low,ci_high,p_value,n_pairs,total_pairs,positive_fraction_resting,positive_fraction_activated,fraction_donors_positive,i2,tau2,n_studies,q_value
GSE134809,CD19,B_cell,tissue_inflammation_crohns,0.1692465391952411,0.18211863195624434,-0.18770597943899778,0.52619905782948,0.37461175139780983,11,11,0.1275900638894144,0.1417799514054726,0.5454545454545454,,,1,0.6544940943961735
GSE134809,CD19,Endothelial,tissue_inflammation_crohns,0.18145048403766667,0.1814504840376667,-0.17419246467616006,0.5370934327514933,0.3434363961379134,10,10,0.0,0.0012453300124533001,0.1,,,1,0.6251776312929681
GSE134809,CD19,Mast_cell,tissue_inflammation_crohns,0.6156585530543294,0.6156585530543295,-0.5910322109321563,1.822349317040815,0.34089313230206003,11,11,0.0,0.012987012987012986,0.09090909090909091,,,1,0.6251776312929681
GSE134809,CD19,Myeloid,tissue_inflammation_crohns,0.41879900801202474,0.39998668967095874,-0.3651749037430544,1.2027729197671038,0.3197321355692682,11,11,0.005814100900313101,0.006472489908008658,0.6363636363636364,,,1,0.6251776312929681
GSE134809,CD19,NK_cell,tissue_inflammation_crohns,0.17610767273626207,0.6835746967960585,-1.1636987329840127,1.5159140784565368,0.801918319763949,11,11,0.0018019785433764574,0.0027028380300026036,0.2727272727272727,,,1,0.9747090891631996
GSE134809,CD19,Plasma_cell,tissue_inflammation_crohns,0.02820521118747964,0.2605997470156565,-0.4825702929632071,0.5389807153381664,0.9159525793702991,11,11,0.03943383956527405,0.04625655048221462,0.5454545454545454,,,1,1.0
GSE134809,CD19,Stromal,tissue_inflammation_crohns,0.6580986973617752,0.30207165609433434,0.06603825141687991,1.2501591433066706,0.054372372875446356,11,11,0.0,0.004417090108724882,0.36363636363636365,,,1,0.28015595515484226
GSE134809,CD19,T_cell,tissue_inflammation_crohns,0.24117810892101288,0.28497779282743274,-0.31737836502075534,0.7997345828627811,0.4171746035973165,11,11,0.001369001930210838,0.0023064695885479294,0.45454545454545453,,,1,0.6892449972477404
GSE134809,CD274,B_cell,tissue_inflammation_crohns,0.549442905591687,0.2728941763317301,0.01457031998149605,1.084315491201878,0.07176745524937303,11,11,0.0002855956828559568,0.0016174481621070262,0.45454545454545453,,,1,0.3259152632980737
GSE134809,CD274,Endothelial,tissue_inflammation_crohns,-0.15099481949473242,0.6270797386519573,-1.3800711072525687,1.078081468263104,0.8151132053094696,10,10,0.008619402538324019,0.007592480916201175,0.3,,,1,0.9794135937602253
GSE134809,CD274,Mast_cell,tissue_inflammation_crohns,0.35178891988528077,0.924692719396692,-1.4606088101322354,2.164186649902797,0.7115759872306164,11,11,0.031089481089481088,0.06542443064182195,0.36363636363636365,,,1,0.9284081550133365
GSE134809,CD274,Myeloid,tissue_inflammation_crohns,1.8500009859592559,0.5078124652400787,0.8546885540887016,2.8453134178298103,0.00451371565015574,11,11,0.006854359508957957,0.057468949927084075,0.7272727272727273,,,1,0.09718586705040053
GSE134809,CD274,NK_cell,tissue_inflammation_crohns,0.7759800580234617,0.8633875776381789,-0.9162595941473688,2.468219710194292,0.3899072921863956,11,11,0.00537466781002395,0.01128155721832907,0.5454545454545454,,,1,0.6649565937672153
GSE134809,CD274,Plasma_cell,tissue_inflammation_crohns,0.32459287669201936,0.2808074046929717,-0.22578963650620515,0.8749753898902439,0.2745810845760984,11,11,0.0044495755868745905,0.007631384013864573,0.6363636363636364,,,1,0.6092894139498827
GSE134809,CD274,Stromal,tissue_inflammation_crohns,1.3199326924541261,0.4596639252134451,0.41899139903577376,2.2208739858724784,0.016625464590043264,11,11,0.00020337604230221678,0.018428533211077073,0.5454545454545454,,,1,0.18294104234978112
GSE134809,CD274,T_cell,tissue_inflammation_crohns,1.184032096294121,0.33172797008078203,0.5338452749357884,1.834218917652454,0.005101797587546067,11,11,0.003579542629150499,0.011706266491920587,0.9090909090909091,,,1,0.09718586705040053
GSE134809,CD38,B_cell,tissue_inflammation_crohns,-0.5165960419703993,0.4715216432686846,-1.440778462777021,0.4075863788362225,0.2989408113618693,11,11,0.034315231004260004,0.022071382645417734,0.36363636363636365,,,1,0.6251776312929681
GSE134809,CD38,Endothelial,tissue_inflammation_crohns,0.542529213169735,0.9370697732072371,-1.2941275423164496,2.3791859686559196,0.5768145660670491,10,10,0.02091729511983208,0.03504572662360019,0.5,,,1,0.8445191001065514
GSE134809,CD38,Mast_cell,tissue_inflammation_crohns,1.0225008192130571,1.5202892363946323,-1.9572660841204221,4.002267722546536,0.516460133991533,11,11,0.12130705365999482,0.19144482936539237,0.6363636363636364,,,1,0.7938470651550463
GSE134809,CD38,Myeloid,tissue_inflammation_crohns,0.15025534971392637,0.15662480197499112,-0.1567292621570562,0.457239961584909,0.3600111778029745,11,11,0.11500325783354347,0.12460200476205796,0.7272727272727273,,,1,0.638096411563289
GSE134809,CD38,NK_cell,tissue_inflammation_crohns,0.21994591459524138,0.23801001138727612,-0.2465537077238198,0.6864455369143025,0.3771921936315047,11,11,0.09062121069442984,0.10144677496705116,0.7272727272727273,,,1,0.6552367249370138
