target,label,study,cell_type,n_pairs,mean_difference,median_difference,fraction_donors_positive,wilcoxon_p_one_sided,leave_one_donor_out_min_mean,leave_one_donor_out_max_mean,direction_stable_leave_one_donor_out
IL2RA,positive,GSE228421,T_cell,5,1.9169329067505516,2.357902398726517,1.0,0.03125,1.5886697418033255,2.3488942672313438,True
TNFRSF9,positive,GSE134809,T_cell,9,1.1292877141119115,1.2570465879691177,0.8888888888888888,0.00390625,1.012788692448546,1.2882799209633113,True
TNFRSF4,positive,GSE228421,T_cell,5,1.9738135646578676,2.061022206861783,1.0,0.03125,1.8011103419257113,2.1867338301582535,True
ICOS,positive,GSE228421,T_cell,5,1.5285905051227187,1.1393791532756525,1.0,0.03125,1.1568910754364587,1.8606149387286646,True
PDCD1,positive,GSE228421,T_cell,5,0.8954271305490392,0.5757547249764299,0.6,0.15625,0.5055307629185531,1.1640775836509027,True
CTLA4,positive,GSE228421,T_cell,5,1.280657799092952,1.0517576575208798,1.0,0.03125,1.0765857186099035,1.4377650534969177,True
CD274,positive,GSE134809,Myeloid,9,2.301505457806792,2.293645910472643,0.8888888888888888,0.00390625,2.023870373137827,2.589193640032641,True
LAG3,positive,GSE228421,NK_cell,5,2.966899389539661,3.586897936993934,1.0,0.03125,2.3588482243059223,3.6844507732095604,True
HAVCR2,positive,GSE228421,NK_cell,5,2.2458493650452773,2.807868193207348,1.0,0.03125,1.9327646377919228,2.619026589861446,True
TIGIT,positive,GSE134809,T_cell,9,0.8293060095977609,0.8657629680809942,1.0,0.001953125,0.7432786626168547,0.9156459302922881,True
CD38,positive,GSE228421,Myeloid,5,1.079080919236375,0.941401367509223,1.0,0.03125,0.8961562712203781,1.1630803497308297,True
CD69,positive,GSE134809,NK_cell,9,-1.1191269929462722,-1.0979877418129789,0.0,1.0,-1.2504374527962494,-0.9276624973135208,False
TNFRSF18,positive,GSE134809,T_cell,9,1.6720846133421214,1.4661418503154326,1.0,0.001953125,1.4934628327210744,1.7875313793156071,True
ENTPD1,positive,GSE228421,Endothelial,5,0.6463920240236897,0.6670177922651668,1.0,0.03125,0.594644740032062,0.7085412433378255,True
MICA,positive,GSE134809,Myeloid,9,0.7334413697296838,0.6484512907409372,0.8888888888888888,0.00390625,0.6387092769842415,0.8283701165830082,True
HLA-DRA,positive,GSE228421,Epithelial,5,1.9583468252284262,1.4921716070871263,1.0,0.03125,1.634441326953061,2.205425592034609,True
ICAM1,positive,GSE134809,Myeloid,9,1.2167504452542666,1.2842135256994034,1.0,0.001953125,1.0408883391067767,1.3312159118981555,True
VCAM1,positive,GSE134809,Endothelial,9,2.431658458825375,2.5530582934359147,0.6666666666666666,0.0546875,1.9533912190584224,3.158483728221634,True
SIGLEC1,positive,GSE228421,Myeloid,5,0.11563685359279745,0.06574602772286164,0.6,0.3125,-0.04392514135761971,0.2162208209451293,False
IDO1,positive,GSE228421,Myeloid,5,2.852016822652288,2.656441605750768,1.0,0.03125,2.5688151703500677,3.23943750288815,True
FAP,positive,GSE134809,Stromal,9,3.430199498833071,2.825347392500043,0.6666666666666666,0.0390625,2.84058771785591,4.2615268084241205,True
TNFRSF12A,positive,GSE134809,Endothelial,9,1.6274140286575407,1.9115831741966225,0.6666666666666666,0.1015625,0.9680373331944798,2.2737296726405916,True
CD19,negative,GSE134809,B_cell,9,0.17333241549136277,0.0873994440745971,0.5555555555555556,0.248046875,0.0498909370422973,0.3120582163510571,True
MS4A1,negative,GSE134809,B_cell,9,0.2047880543431331,0.26794189459114826,0.6666666666666666,0.1015625,0.11586263369741334,0.28593831190419494,True
CD79A,negative,GSE228421,B_cell,5,3.2843783642545565,4.081286035669669,0.8,0.0625,2.5050234368961455,4.105472955318196,True
TNFRSF17,negative,GSE228421,Plasma_cell,5,0.5617738984372201,0.0,0.4,0.25,0.3348097618466829,0.7022173730465252,True
CD3E,negative,GSE228421,T_cell,5,0.24597627614418727,0.3061825508235758,0.8,0.0625,0.20999432344299307,0.32873162602181694,True
CD4,negative,GSE228421,T_cell,5,1.7548671246125196,1.65484911333711,1.0,0.03125,1.2303460571991047,2.1321389393758565,True
CD8A,negative,GSE134809,T_cell,9,-0.7834777523781978,-0.9508845303922602,0.2222222222222222,0.990234375,-0.9299263668886572,-0.6909570251220806,False
ERBB2,negative,GSE228421,Epithelial,5,0.15840572582428622,0.15014993344664784,0.6,0.21875,0.0813699262563009,0.2547920703746983,True
