target,tissue_footprint_resting,tissue_footprint_activated,tissue_footprint_expansion
CD19,1,1,0
CD274,1,1,0
CD38,3,4,1
CD3E,4,3,-1
CD4,1,4,3
CD69,8,8,0
CD70,0,0,0
CD79A,2,2,0
CD8A,2,2,0
CLDN18,0,0,0
CLDN6,0,0,0
CTLA4,1,1,0
DLL3,0,0,0
ENTPD1,3,5,2
ERBB2,1,1,0
FAP,1,2,1
FOLR1,0,0,0
GPRC5D,0,0,0
HAVCR2,1,4,3
HLA-DRA,9,9,0
ICAM1,6,6,0
ICOS,2,2,0
IDO1,0,3,3
IL2RA,1,2,1
LAG3,1,1,0
MICA,2,1,-1
MICB,0,0,0
MS4A1,1,1,0
PDCD1,0,0,0
PDCD1LG2,0,0,0
SIGLEC1,0,0,0
TIGIT,2,2,0
TNFRSF12A,5,3,-2
TNFRSF17,1,1,0
TNFRSF18,6,6,0
TNFRSF4,5,5,0
TNFRSF9,3,4,1
VCAM1,2,2,0
