target,label,tier,y_true,expected_lineages,covered_lineages,observable_fraction_max,observable,abstention_reason,score,driver_study,driver_stimulus,driver_cell_type,driver_effect,driver_standard_error,driver_total_pairs
IL2RA,positive,1,1,['T_cell'],['T_cell'],0.31704343128491735,True,,0.8309016585834306,GSE228421,tissue_inflammation_psoriasis,T_cell,1.9169329067505516,0.5540975755954699,5
TNFRSF9,positive,1,1,"['T_cell', 'NK_cell']","['NK_cell', 'T_cell']",0.2577323605187382,True,,0.665061266073139,GSE134809,tissue_inflammation_crohns,T_cell,1.1292877141119115,0.23685022859121052,9
TNFRSF4,positive,1,1,['T_cell'],['T_cell'],0.34785506031636065,True,,1.4879877411514262,GSE228421,tissue_inflammation_psoriasis,T_cell,1.9738135646578676,0.24787031811553137,5
ICOS,positive,2,1,['T_cell'],['T_cell'],0.4106269633359417,True,,0.5749805916021735,GSE228421,tissue_inflammation_psoriasis,T_cell,1.5285905051227187,0.48653567016354343,5
PDCD1,positive,2,1,['T_cell'],['T_cell'],0.08135552957534381,True,,-0.09768623529401499,GSE228421,tissue_inflammation_psoriasis,T_cell,0.8954271305490392,0.5066904927770685,5
CTLA4,positive,2,1,['T_cell'],['T_cell'],0.2928186364718873,True,,0.7632668380081508,GSE228421,tissue_inflammation_psoriasis,T_cell,1.280657799092952,0.26397498014530674,5
CD274,positive,1,1,"['Myeloid', 'B_cell', 'Endothelial', 'Stromal', 'Epithelial']","['B_cell', 'Endothelial', 'Epithelial', 'Myeloid', 'Stromal']",0.1695848754382733,True,,1.3158292211129088,GSE134809,tissue_inflammation_crohns,Myeloid,2.301505457806792,0.5028960391295323,9
PDCD1LG2,positive,1,1,"['Myeloid', 'Endothelial', 'Stromal', 'Epithelial']","['Endothelial', 'Epithelial', 'Myeloid', 'Stromal']",0.03578140315604873,False,TARGET_NOT_OBSERVABLE_AT_COVERAGE_THRESHOLD,,GSE134809,tissue_inflammation_crohns,Myeloid,2.221378606696245,0.5420992326997705,9
LAG3,positive,2,1,"['T_cell', 'NK_cell']","['NK_cell', 'T_cell']",0.15015761597641708,True,,0.8793346513073721,GSE228421,tissue_inflammation_psoriasis,NK_cell,2.966899389539661,1.0650840501185148,5
HAVCR2,positive,2,1,"['T_cell', 'NK_cell', 'Myeloid']","['Myeloid', 'NK_cell', 'T_cell']",0.2503527839260005,True,,1.1763376302677375,GSE228421,tissue_inflammation_psoriasis,NK_cell,2.2458493650452773,0.5456692524375203,5
TIGIT,positive,2,1,"['T_cell', 'NK_cell']","['NK_cell', 'T_cell']",0.30583287541491877,True,,0.5179313903759546,GSE134809,tissue_inflammation_crohns,T_cell,0.8293060095977609,0.15886460164377872,9
CD38,positive,2,1,"['T_cell', 'B_cell', 'Myeloid', 'NK_cell', 'Plasma_cell']","['B_cell', 'Myeloid', 'NK_cell', 'Plasma_cell', 'T_cell']",0.2486708383946793,True,,0.6915378148841975,GSE228421,tissue_inflammation_psoriasis,Myeloid,1.079080919236375,0.19772607364907013,5
CD69,positive,1,1,"['T_cell', 'NK_cell']","['NK_cell', 'T_cell']",0.8741133471159064,True,,-1.6822942903941158,GSE134809,tissue_inflammation_crohns,NK_cell,-1.1191269929462722,0.2873302537999202,9
TNFRSF18,positive,2,1,['T_cell'],['T_cell'],0.6333329553143795,True,,1.1321464702599482,GSE134809,tissue_inflammation_crohns,T_cell,1.6720846133421214,0.27547864442968023,9
ENTPD1,positive,2,1,"['T_cell', 'NK_cell', 'Endothelial']","['Endothelial', 'NK_cell', 'T_cell']",0.4714883462297903,True,,0.49520598881459243,GSE228421,tissue_inflammation_psoriasis,Endothelial,0.6463920240236897,0.0771357322495394,5
CD70,positive,2,1,"['T_cell', 'B_cell', 'Myeloid']","['B_cell', 'Myeloid', 'T_cell']",0.0485036141601888,False,TARGET_NOT_OBSERVABLE_AT_COVERAGE_THRESHOLD,,GSE134809,tissue_inflammation_crohns,Myeloid,2.149907485583057,0.5513538566760805,9
MICA,positive,2,1,"['Myeloid', 'Endothelial', 'Stromal', 'Epithelial']","['Endothelial', 'Epithelial', 'Myeloid', 'Stromal']",0.10741250352398304,True,,0.42690364701792893,GSE134809,tissue_inflammation_crohns,Myeloid,0.7334413697296838,0.15639679730191575,9
MICB,positive,2,1,"['Myeloid', 'Endothelial', 'Stromal', 'Epithelial']","['Endothelial', 'Epithelial', 'Myeloid', 'Stromal']",0.04855287690778261,False,TARGET_NOT_OBSERVABLE_AT_COVERAGE_THRESHOLD,,GSE228421,tissue_inflammation_psoriasis,Stromal,0.5117504793166179,0.07954325830955881,5
HLA-DRA,positive,1,1,"['Myeloid', 'B_cell', 'Endothelial', 'Epithelial']","['B_cell', 'Endothelial', 'Epithelial', 'Myeloid']",0.9852866062678618,True,,1.088001175096412,GSE228421,tissue_inflammation_psoriasis,Epithelial,1.9583468252284262,0.4440539031285787,5
ICAM1,positive,1,1,"['Myeloid', 'T_cell', 'Endothelial', 'Stromal', 'Epithelial']","['Endothelial', 'Epithelial', 'Myeloid', 'Stromal', 'T_cell']",0.6844209610132586,True,,0.7414965351029168,GSE134809,tissue_inflammation_crohns,Myeloid,1.2167504452542666,0.24247648477109685,9
VCAM1,positive,2,1,"['Endothelial', 'Stromal']","['Endothelial', 'Stromal']",0.3675267074765892,True,,0.08661558468478159,GSE134809,tissue_inflammation_crohns,Endothelial,2.431658458825375,1.1964504459900989,9
SIGLEC1,positive,2,1,['Myeloid'],['Myeloid'],0.08210705024628098,True,,-0.2663002258192656,GSE228421,tissue_inflammation_psoriasis,Myeloid,0.11563685359279745,0.19486585684288932,5
IDO1,positive,1,1,"['Myeloid', 'Endothelial', 'Stromal', 'Epithelial']","['Endothelial', 'Epithelial', 'Myeloid', 'Stromal']",0.26810613862447474,True,,1.8847509572642784,GSE228421,tissue_inflammation_psoriasis,Myeloid,2.852016822652288,0.4935029925449028,5
FAP,positive,2,1,['Stromal'],['Stromal'],0.2118651737096403,True,,0.8102351956969716,GSE134809,tissue_inflammation_crohns,Stromal,3.430199498833071,1.3367164811918875,9
TNFRSF12A,positive,2,1,"['Endothelial', 'Stromal', 'Epithelial']","['Endothelial', 'Epithelial', 'Stromal']",0.25148479102203736,True,,-0.4647349931371232,GSE134809,tissue_inflammation_crohns,Endothelial,1.6274140286575407,1.0674229703034,9
CD19,negative,1,0,['B_cell'],['B_cell'],0.1461261134461949,True,,-0.2650615331104271,GSE134809,tissue_inflammation_crohns,B_cell,0.17333241549136277,0.22367038193968872,9
MS4A1,negative,1,0,['B_cell'],['B_cell'],0.6355979543402739,True,,-0.041150381141977,GSE134809,tissue_inflammation_crohns,B_cell,0.2047880543431331,0.1254787936148521,9
CD79A,negative,1,0,['B_cell'],['B_cell'],0.6904563388753514,True,,1.0349835250883865,GSE228421,tissue_inflammation_psoriasis,B_cell,3.2843783642545565,1.1476504281460052,5
