target,cell_type,stimulus,inducibility_lfc,inducibility_se,ci_low,ci_high,tau2,q,i2,n_studies,total_pairs,min_q_value,positive_fraction_activated,positive_fraction_resting,adt_estimate,adt_n_studies,protein_concordance,relevant_stimulus,evidence_class,abstention_reasons
CD19,B_cell,lymphocyte_activation,0.067535024626514,0.026723462253787984,0.015157038609089561,0.11991301064393844,0.0,0.06264086227947539,0.0,3.0,15,0.563376228487125,0.8222222222222223,0.7944444444444444,-0.03362820959158306,3.0,DISCORDANT,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD19,Endothelial,IFN_II,0.02039216869890174,0.06330796544800538,-0.10369144357918879,0.14447578097699226,0.004321745816771203,2.163094204010598,7.539856734311639,3.0,15,0.7519053019536832,0.2611111111111111,0.21666666666666665,0.26142338947203614,3.0,CONCORDANT,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD19,Epithelial,IFN_II,5.0755236616163965e-12,9.999999999924188e-07,-1.9599949244614793e-06,1.9600050755088023e-06,0.0,1.700767578953415,0.0,3.0,15,0.7671125836924454,0.2722222222222222,0.22777777777777777,0.1323209008985853,3.0,CONCORDANT,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD19,Fibroblast,tissue_damage,-0.3159358153626308,0.3518239436832495,-1.0055107449818,0.3736391142565382,0.2857279279871374,9.578277566586584,79.11941905946728,3.0,15,0.39489132380754566,0.18888888888888888,0.26666666666666666,0.652275715916526,3.0,DISCORDANT,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD19,Myeloid,IFN_II,0.24218557605665778,0.22863863079974162,-0.20594614031083577,0.6903172924241513,0.0,1.213661041813645,0.0,3.0,15,0.7671125836924454,0.25555555555555554,0.2111111111111111,0.4123132542421269,3.0,CONCORDANT,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD19,Plasma_cell,lymphocyte_activation,-0.0003595019948466164,0.06522590165688032,-0.12820226924233202,0.1274832652526388,0.004597875205948056,2.174361171353688,8.018960863118071,3.0,15,0.7461278688945034,0.24444444444444446,0.29444444444444445,-0.06872911570291855,3.0,CONCORDANT,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD19,T_cell,lymphocyte_activation,-0.38887839873988894,0.43872477440996377,-1.248778956583418,0.47102215910364,0.1514610578214677,2.645783625624612,24.408028660021525,3.0,15,0.6991916042142506,0.24444444444444446,0.25,-0.11232574102279413,3.0,CONCORDANT,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD274,B_cell,lymphocyte_activation,0.022518576352332512,0.9326178001865707,-1.805412312013346,1.8504494647180112,1.7280563200172425,7.104579637550039,71.84914376313917,3.0,15,0.6630553770376838,0.1388888888888889,0.20555555555555557,-2.6294486022702563,3.0,DISCORDANT,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CD274,Endothelial,IFN_II,3.043991203776924,0.5261921028938061,2.012654682105064,4.075327725448783,0.3738608800595318,3.5397799527677543,43.49931276275522,3.0,15,0.13492303781259263,0.47222222222222227,0.10555555555555556,2.0007054337750905,3.0,CONCORDANT,True,A,[]
CD274,Epithelial,IFN_II,2.3671436331829336,0.4176650796922603,1.5485200769861036,3.1857671893797637,0.0,0.3002231354425566,0.0,3.0,15,0.19392355812652673,0.5166666666666666,0.18888888888888888,2.3512364100288674,3.0,CONCORDANT,True,A,[]
