target,driver_cell_type,driver_stimulus,inducibility_lfc,ci_low,ci_high,i2,positive_fraction_resting,positive_fraction_activated,protein_concordance,evidence_class,abstention_reasons,protein_adjustment,row_score,footprint_resting,footprint_activated,footprint_expansion,selectivity_resting,selectivity_activated,selectivity_erosion,rna_only_score,score
ICAM1,Myeloid,IFN_II,1.964868882717194,1.2734209572102821,2.6563168082241058,0.0,0.12222222222222222,0.2722222222222222,CONCORDANT,A,[],0.35,3.5148688827171943,2,6,4,2.4652052820355412,1.216707823035211,1.2484974590003302,4.164868882717194,5.7148688827171945
CD274,Myeloid,IFN_II,3.115556476984851,2.1305381522526314,4.1005748017170705,30.13557151172816,0.1111111111111111,0.49444444444444446,CONCORDANT,A,[],0.35,4.66555647698485,7,7,0,1.890659948985741,-0.06076494742278982,1.9514248964085308,3.115556476984851,4.66555647698485
IL2RA,T_cell,lymphocyte_activation,2.3228988602135723,1.6175579453045674,3.028239775122577,0.0,0.22777777777777777,0.6833333333333332,CONCORDANT,A,[],0.35,3.8728988602135725,7,7,0,1.0716032454315052,-0.6850966374280683,1.7566998828595735,2.3228988602135723,3.8728988602135725
PDCD1LG2,Myeloid,IFN_II,2.2892040580213417,1.2037999575396379,3.3746081585030456,47.815776834410876,0.12222222222222222,0.35555555555555557,CONCORDANT,A,[],0.35,3.839204058021342,7,7,0,2.146672749611481,1.0110073137608087,1.1356654358506726,2.2892040580213417,3.839204058021342
HLA-DRA,Myeloid,IFN_II,1.925317043353997,1.523381341251699,2.327252745456295,0.0,0.05555555555555556,0.25555555555555554,UNAVAILABLE,B,[],0.0,2.7253170433539973,1,3,2,2.431991762740704,1.4059931370402097,1.0259986257004943,3.025317043353997,3.8253170433539974
CD69,T_cell,lymphocyte_activation,2.2705501550975304,0.4755098743762627,4.065590435818798,79.00688071471728,0.022222222222222223,0.13333333333333333,CONCORDANT,C,[],0.35,3.0205501550975304,0,1,1,2.991262125168804,2.403257270674256,0.5880048544945485,2.8205501550975303,3.5705501550975303
TNFRSF4,T_cell,lymphocyte_activation,1.9272818913747989,1.630791843205004,2.223771939544594,0.0,0.3111111111111111,0.6611111111111111,CONCORDANT,A,[],0.35,3.477281891374799,7,7,0,0.9060666421689693,-0.5365260258658223,1.4425926680347916,1.9272818913747989,3.477281891374799
TIGIT,T_cell,lymphocyte_activation,2.0218429295710583,0.9158686417676292,3.1278172173744876,0.0,0.05000000000000001,0.17777777777777778,UNAVAILABLE,B,[],0.0,2.8218429295710585,0,1,1,3.0649627585669443,2.195423811519045,0.8695389470478996,2.5718429295710585,3.3718429295710584
IDO1,Myeloid,IFN_II,2.2431683538982314,1.4465680614625234,3.0397686463339397,0.0,0.2111111111111111,0.47222222222222227,UNAVAILABLE,B,[],0.0,3.0431683538982313,7,7,0,1.5395605076067167,0.06428535445452432,1.4752751531521924,2.2431683538982314,3.0431683538982313
CD3E,T_cell,lymphocyte_activation,4.0528682858386125,3.9719546518485824,4.1337819198286425,0.0,0.9888888888888889,1.0,DISCORDANT,B,[],-0.75,4.102868285838612,3,1,-2,-2.668115997538454,-6.71882426835251,4.050708270814056,2.9528682858386124,3.002868285838612
