target,label,tier,rna_only_score,score,protein_concordance
ICAM1,positive,1,4.164868882717194,5.7148688827171945,CONCORDANT
CD274,positive,1,3.115556476984851,4.66555647698485,CONCORDANT
IL2RA,positive,1,2.3228988602135723,3.8728988602135725,CONCORDANT
PDCD1LG2,positive,1,2.2892040580213417,3.839204058021342,CONCORDANT
HLA-DRA,positive,1,3.025317043353997,3.8253170433539974,UNAVAILABLE
CD69,positive,1,2.8205501550975303,3.5705501550975303,CONCORDANT
TNFRSF4,positive,1,1.9272818913747989,3.477281891374799,CONCORDANT
TIGIT,positive,2,2.5718429295710585,3.3718429295710584,UNAVAILABLE
IDO1,positive,1,2.2431683538982314,3.0431683538982313,UNAVAILABLE
CD3E,negative,1,2.9528682858386124,3.002868285838612,DISCORDANT
TNFRSF9,positive,1,1.7272278507043939,2.877227850704394,CONCORDANT
LAG3,positive,2,2.368461210578839,2.768461210578839,UNAVAILABLE
CD38,positive,2,1.9101863591116794,2.7101863591116793,UNAVAILABLE
ENTPD1,positive,2,1.8855514778818072,2.6855514778818073,UNAVAILABLE
HAVCR2,positive,2,1.6695534294104322,2.469553429410432,UNAVAILABLE
SIGLEC1,positive,2,1.534003275053629,2.334003275053629,UNAVAILABLE
VCAM1,positive,2,1.5168329109362624,2.316832910936262,UNAVAILABLE
MICB,positive,2,1.4515762602698428,2.251576260269843,UNAVAILABLE
CD70,positive,2,2.2470075030935694,2.2470075030935694,UNAVAILABLE
CTLA4,positive,2,1.3396124098117415,2.1396124098117415,UNAVAILABLE
PDCD1,positive,2,1.2389493591388452,2.0389493591388455,UNAVAILABLE
CD79A,negative,1,1.131079083057027,1.931079083057027,UNAVAILABLE
CLDN6,negative,1,0.8734337488912074,1.6734337488912077,UNAVAILABLE
ICOS,positive,2,0.8548816511931414,1.6548816511931415,UNAVAILABLE
TNFRSF18,positive,2,1.3794133070517347,1.3794133070517347,UNAVAILABLE
FAP,positive,2,0.9570999145220029,1.3570999145220028,UNAVAILABLE
MICA,positive,2,1.1512916293754945,1.1512916293754945,UNAVAILABLE
CD8A,negative,1,0.5892183110242313,0.9892183110242313,UNAVAILABLE
TNFRSF17,negative,1,0.3272063528745782,0.6772063528745782,CONCORDANT
TNFRSF12A,positive,2,0.6648342042276485,0.6648342042276485,UNAVAILABLE
CLDN18,negative,1,0.6639810355173832,0.6639810355173832,UNAVAILABLE
MS4A1,negative,1,0.282553015432004,0.632553015432004,CONCORDANT
CD19,negative,1,0.24218557605665778,0.5921855760566578,CONCORDANT
ERBB2,negative,2,0.11451961671310723,0.4645196167131072,CONCORDANT
GPRC5D,negative,1,0.3399475641634685,0.3399475641634685,UNAVAILABLE
DLL3,negative,2,0.27029576114709125,0.27029576114709125,UNAVAILABLE
CD4,negative,1,0.2379479470662281,0.2379479470662281,UNAVAILABLE
FOLR1,negative,2,0.013557682466589595,0.013557682466589595,UNAVAILABLE
